policy,household,reservations
A_weekly_cap_cooldown,BJ2,2
A_weekly_cap_cooldown,A1,3
A_weekly_cap_cooldown,A2,3
A_weekly_cap_cooldown,A3,3
A_weekly_cap_cooldown,A4,1
A_weekly_cap_cooldown,A5,3
A_weekly_cap_cooldown,A6,1
A_weekly_cap_cooldown,A7,0
A_weekly_cap_cooldown,A8,1
A_weekly_cap_cooldown,B1,3
A_weekly_cap_cooldown,B2,1
A_weekly_cap_cooldown,B3,2
A_weekly_cap_cooldown,B4,4
A_weekly_cap_cooldown,B5,2
A_weekly_cap_cooldown,B6,0
A_weekly_cap_cooldown,B7,0
A_weekly_cap_cooldown,B8,3
A_weekly_cap_cooldown,AT1,3
A_weekly_cap_cooldown,AT2,2
A_weekly_cap_cooldown,BJ1,3
B_prime_quota_daily_window,BJ2,2
B_prime_quota_daily_window,A1,4
B_prime_quota_daily_window,A2,4
B_prime_quota_daily_window,A3,4
B_prime_quota_daily_window,A4,0
B_prime_quota_daily_window,A5,3
B_prime_quota_daily_window,A6,2
B_prime_quota_daily_window,A7,0
B_prime_quota_daily_window,A8,2
B_prime_quota_daily_window,B1,2
B_prime_quota_daily_window,B2,1
B_prime_quota_daily_window,B3,2
B_prime_quota_daily_window,B4,4
B_prime_quota_daily_window,B5,2
B_prime_quota_daily_window,B6,0
B_prime_quota_daily_window,B7,0
B_prime_quota_daily_window,B8,3
B_prime_quota_daily_window,AT1,2
B_prime_quota_daily_window,AT2,1
B_prime_quota_daily_window,BJ1,3
